ativo,retornoBruto,retornoPercentual,LN,
BNBUSDC,0.3278999999999961,0.01509683104670878,0.014984007989474165,
BNBUSDT,0.31165000000001086,0.01433260378778134,0.014230863009970125,
BNTUSDT,0.06474333333333335,0.27431678553774463,0.24241018050886814,
BTCUSDC,-133.10199999999895,-0.013752214984288802,-0.013847652689506624,
BTCUSDT,-138.12500000000182,-0.01427301453196983,-0.014375853726948601,
BTSUSDT,0.005864000000000001,0.2446119191301206,0.21882376978245832,
BTTUSDC,-2.529999999999991E-6,-0.005526470995128818,-0.005541798433137292,
BTTUSDT,-2.806666666666695E-6,-0.006129342224034051,-0.006148203754094976,
BUSDUSDT,-4.466666666667063E-4,-4.4667113337804043E-4,-4.46770920644571E-4,
BZRXUSDT,0.0,NaN,NaN,
CELOUSDT,0.0,NaN,NaN,
CELRUSDT,1.5000000000000256E-5,0.0037434489643124458,0.003736459696452793,
CHRUSDT,0.0,NaN,NaN,
CHZUSDT,9.454333333333339E-4,0.08409732435125017,0.0807476815990914,
CKBUSDT,0.0,NaN,NaN,
COMPUSDT,0.0,NaN,NaN,
COSUSDT,2.5466666666666693E-4,0.027738445340013795,0.027360704056916818,
COTIUSDT,0.0057859999999999995,4.215152986886839,1.6515684239547255,
CRVUSDT,0.0,NaN,NaN,
CTKUSDT,0.0,NaN,NaN,
CTSIUSDT,0.0,NaN,NaN,
CTXCUSDT,-9.066666666666667E-4,-0.00964778491114815,-0.009694626308621475,
CVCUSDT,3.7666666666667445E-4,0.012647885116909174,0.012568568707650322,
DASHUSDT,-6.777333333333317,-0.05889458240519996,-0.060700118471760565,
DATAUSDT,0.0,NaN,NaN,
DCRUSDT,0.0,NaN,NaN,
DENTUSDT,-1.193333333333375E-6,-0.005697370933859802,-0.005713662861879648,
DGBUSDT,0.0,NaN,NaN,
DIAUSDT,0.0,NaN,NaN,
DNTUSDT,0.0,NaN,NaN,
DOCKUSDT,9.533333333335697E-6,0.0011116812040365964,0.00111106374405696,
DOGEUSDT,-1.4993333333332328E-5,-0.005576936429371626,-0.00559254560062908,
DOTUSDT,0.0,NaN,NaN,
DUSKUSDT,-8.666666666667239E-5,-0.0020551735040709174,-0.00205728827110907,
EGLDUSDT,0.0,NaN,NaN,
ENJUSDT,-0.0012523333333332998,-0.010030917760891711,-0.010081566402676745,
EOSUSDC,-0.13340000000000085,-0.030118305788855992,-0.03058117965379051,
EOSUSDT,-0.13382333333333474,-0.030219865005340907,-0.030685898131051367,
ETCUSDT,-0.8779999999999983,-0.08197522319108308,-0.08553089873794283,
ETHUSDC,9.469333333333338,0.04049388628983741,0.039695491091702034,
ETHUSDT,9.375333333333344,0.04009694204861369,0.039313922317454585,
EURUSDT,-3.399999999995629E-4,-3.1122420958162866E-4,-3.112726498867347E-4,
FETUSDT,-0.0011960000000000026,-0.027412959270210258,-0.02779570545883041,
FILUSDT,0.0,NaN,NaN,
FIOUSDT,0.0,NaN,NaN,
FIROUSDT,0.0,NaN,NaN,
FLMUSDT,0.0,NaN,NaN,
FTMUSDT,-5.663333333333354E-4,-0.056782861535376705,-0.05845875937208286,
FTTUSDT,0.06956666666666633,0.027731639581699996,0.02735408196266816,
FUNUSDT,3.476666666666706E-5,0.009055706049871493,0.009014949014867121,
GBPUSDT,0.0,NaN,NaN,
GRTUSDT,0.0,NaN,NaN,
GTOUSDT,-1.0000000000027348E-6,-1.0811979673508443E-4,-1.0812564210164448E-4,
GXSUSDT,0.0,NaN,NaN,
HARDUSDT,0.0,NaN,NaN,
HBARUSDT,0.005790333333333342,0.17347580765965964,0.1599701205529012,
HIVEUSDT,0.0,NaN,NaN,
HNTUSDT,0.0,NaN,NaN,
HOTUSDT,-5.766666666666789E-6,-0.00782791261696636,-0.00785871155783442,
ICXUSDT,0.0028433333333331423,0.0076900885306787625,0.007660670521680408,
INJUSDT,0.0,NaN,NaN,
IOSTUSDT,-1.615999999999996E-4,-0.024560141443718764,-0.024866772735180863,
