ativo,retornoBruto,retornoPercentual,LN,
BNBUSDC,0.5224714285714249,0.03158020169260123,0.031091802995793037,
BNBUSDT,0.5391714285714286,0.03264799814537356,0.032126375189020714,
BNTUSDT,-0.004914285714285677,-0.02356325775738044,-0.023845310853207343,
BTCUSDC,1151.5171428571439,0.14466407404077253,0.13511120884314068,
BTCUSDT,1152.477142857144,0.14496843965042294,0.13537707300223453,
BTSUSDT,0.0020828571428571398,0.11290947107565996,0.10697773122759506,
BTTUSDC,4.2114285714285723E-5,0.16863059146550752,0.15583262867123462,
BTTUSDT,4.1342857142857164E-5,0.16565540927303957,0.15328351189412442,
BUSDUSDT,1.2857142857136683E-4,1.28703809632702E-4,1.2869552800797183E-4,
BZRXUSDT,0.0,NaN,NaN,
CELOUSDT,0.0,NaN,NaN,
CELRUSDT,5.2857142857142686E-5,0.027286135693215252,0.026920505279464737,
CHRUSDT,0.0034185714285714284,Infinity,Infinity,
CHZUSDT,0.001698714285714287,0.24111361193908798,0.21600905073406773,
CKBUSDT,0.0,NaN,NaN,
COMPUSDT,0.0,NaN,NaN,
COSUSDT,6.142857142857165E-5,0.011369645690111119,0.011305497042233473,
COTIUSDT,-0.0018185714285714263,-0.08096419258411236,-0.08443019392969764,
CRVUSDT,0.0,NaN,NaN,
CTKUSDT,0.0,NaN,NaN,
CTSIUSDT,-0.008281428571428572,-0.18451793614921852,-0.2039758512147113,
CTXCUSDT,0.0011714285714285455,0.013026211278792443,0.01294209983682384,
CVCUSDT,0.0012757142857142828,0.0616414716642506,0.05981626851798328,
DASHUSDT,-2.8957142857142912,-0.034808441948723345,-0.03542869159019279,
DATAUSDT,0.01678857142857143,0.29450681635926235,0.25812978582654,
DCRUSDT,0.0,NaN,NaN,
DENTUSDT,2.0342857142857142E-5,0.16487206205858507,0.15261126301176506,
DGBUSDT,0.0,NaN,NaN,
DIAUSDT,0.0,NaN,NaN,
DNTUSDT,0.0,NaN,NaN,
DOCKUSDT,3.185714285714276E-4,0.06637694963686136,0.06426687452952952,
DOGEUSDT,1.9742857142857105E-4,0.08524497134856057,0.0818057415527007,
DOTUSDT,0.0,NaN,NaN,
DUSKUSDT,0.0010714285714285704,0.050573162508428915,0.04933588429276153,
EGLDUSDT,0.0,NaN,NaN,
ENJUSDT,0.0014657142857142924,0.010508526655400363,0.010453695881752769,
EOSUSDC,0.020114285714286417,0.007222364708900031,0.007196408335571229,
EOSUSDT,0.01729999999999965,0.0062169515888905735,0.0061977060698130875,
ETCUSDT,0.9527999999999999,0.15514522184538504,0.1442260692694682,
ETHUSDC,9.254285714285714,0.04642795711255099,0.045382418787967144,
ETHUSDT,9.331428571428546,0.0468848693654893,0.045818963440457765,
EURUSDT,0.009671428571428553,0.008990823251304736,0.008950646435469627,
FETUSDT,-2.4857142857142786E-4,-0.012638001162114998,-0.012718539984791768,
FILUSDT,0.0,NaN,NaN,
FIOUSDT,0.0,NaN,NaN,
FIROUSDT,0.0,NaN,NaN,
FLMUSDT,0.0,NaN,NaN,
FTMUSDT,2.4571428571428574E-4,0.058324855883350235,0.056687333455503135,
FTTUSDT,0.22114285714285709,0.07560808830712129,0.07288616519382039,
FUNUSDT,1.5785714285714274E-4,0.080674600277433,0.07758547602259049,
GBPUSDT,0.0,NaN,NaN,
GRTUSDT,0.0,NaN,NaN,
GTOUSDT,8.857142857142831E-5,0.016502528613255185,0.016367841651547244,
GXSUSDT,0.0,NaN,NaN,
HARDUSDT,0.0,NaN,NaN,
HBARUSDT,0.00670142857142858,0.1967041261321707,0.17957121651665958,
HIVEUSDT,0.1311714285714286,0.523997032471609,0.4213365100654518,
HNTUSDT,0.0,NaN,NaN,
HOTUSDT,1.4998571428571418E-4,0.43371751972569883,0.3602707351338326,
ICXUSDT,-0.006942857142857084,-0.0244429915002764,-0.02474668033978923,
INJUSDT,0.0,NaN,NaN,
IOSTUSDT,1.3128571428571443E-4,0.036279657336860005,0.035637046924519515,
IOTAUSDT,0.00921428571428573,0.0526831658907132,0.05134230078289507,
IOTXUSDT,1.985714285714351E-5,0.0076546065311968725,0.007625458679683853,
IRISUSDT,0.0,NaN,NaN,
JSTUSDT,0.0,NaN,NaN,
JUVUSDT,0.0,NaN,NaN,
KAVAUSDT,-0.0364714285714286,-0.06158039461623821,-0.06355808950842617,
KEYUSDT,3.868571428571427E-4,0.5934692088538238,0.46591353172265404,
KMDUSDT,0.0,NaN,NaN,
KNCUSDT,0.0,NaN,NaN,
KSMUSDT,0.0,NaN,NaN,
LINKUSDC,-0.01132857142857091,-0.0030305809696329344,-0.003035182479323187,
LINKUSDT,-0.012871428571428645,-0.003445374937860901,-0.0034513239103163003,
LITUSDT,0.0,NaN,NaN,
LRCUSDT,0.0,NaN,NaN,
LSKUSDT,0.0681571428571428,0.05876339450671253,0.05710161815011023,
LTCUSDC,1.6357142857142932,0.035890041688869445,0.03526100083836638,
LTCUSDT,1.6299999999999955,0.03579944779116451,0.03517354188448094,
LTOUSDT,-5.985714285714344E-4,-0.013864990072799621,-0.013962006849280137,
LUNAUSDT,0.0,NaN,NaN,
MANAUSDT,0.0,NaN,NaN,
MATICUSDT,0.0014114285714285756,0.09117755629383573,0.08725743998299762,
MBLUSDT,3.5571428571428646E-5,0.027359630809801194,0.026992045705377058,
MDTUSDT,0.0,NaN,NaN,
MFTUSDT,3.214285714285721E-5,0.0577219086711136,0.056117452639394085,
MITHUSDT,3.999999999999967E-5,0.010439970171513657,0.010385850032122614,
MKRUSDT,0.0,NaN,NaN,
MTLUSDT,-0.006700000000000039,-0.021943573667711713,-0.022187914975362332,
NANOUSDT,0.029585714285714215,0.04904096613781661,0.04787638121389426,
NBSUSDT,0.0,NaN,NaN,
NEARUSDT,0.0,NaN,NaN,
NEOUSDC,0.6147142857142853,0.07160567786597438,0.06915815716809673,
NEOUSDT,0.6191428571428563,0.07209395169339272,0.06961370031334844,
NKNUSDT,2.1428571428575016E-5,0.0013457742687961183,0.0013448695262333814,
NMRUSDT,0.0,NaN,NaN,
NULSUSDT,0.007371428571428529,0.034563601044945935,0.033979696299091804,
OCEANUSDT,0.0,NaN,NaN,
OGNUSDT,-0.02332857142857145,-0.10123364949476177,-0.10673217761696485,
OGUSDT,0.0,NaN,NaN,
OMGUSDT,0.04357142857142848,0.06429851375566553,0.0623159096114441,
ONEUSDT,-8.285714285714276E-5,-0.03216860787576259,-0.032697388566789706,
ONGUSDT,0.0036285714285714116,0.039570026483875864,0.03880719159182827,
ONTUSDT,0.0026142857142856246,0.005428495149950807,0.0054138139773048,
ORNUSDT,0.0,NaN,NaN,
OXTUSDT,0.0,NaN,NaN,
PAXGUSDT,0.0,NaN,NaN,
PAXUSDT,3.00000000000078E-4,3.003690248020163E-4,3.0032392305770467E-4,
PERLUSDT,-3.357142857142864E-4,-0.023311179446483532,-0.023587182735795683,
PNTUSDT,0.0,NaN,NaN,
PSGUSDT,0.0,NaN,NaN,
QTUMUSDT,0.052999999999999936,0.034865144253359626,0.03427112282076639,
REEFUSDT,0.0,NaN,NaN,
RENUSDT,6.228571428571472E-4,0.009421323306970875,0.00937721943536778,
REPUSDT,0.0,NaN,NaN,
RIFUSDT,0.0,NaN,NaN,
RLCUSDT,-0.015128571428571436,-0.04458947368421051,-0.045614160381517374,
ROSEUSDT,0.0,NaN,NaN,
RSRUSDT,0.0,NaN,NaN,
RUNEUSDT,0.0,NaN,NaN,
RVNUSDT,0.0018485714285714286,0.0957029805487759,0.09139614864890759,
SANDUSDT,0.0,NaN,NaN,
SCUSDT,0.0,NaN,NaN,
SFPUSDT,0.0,NaN,NaN,
SKLUSDT,0.0,NaN,NaN,
SNXUSDT,0.0,NaN,NaN,
SOLUSDT,0.0,NaN,NaN,
SRMUSDT,0.0,NaN,NaN,
STMXUSDT,0.0,NaN,NaN,
STORJUSDT,0.0,NaN,NaN,
STPTUSDT,3.0571428571428416E-4,0.02644260472012827,0.026099042343369426,
STRAXUSDT,0.0,NaN,NaN,
STXUSDT,-0.0025142857142857328,-0.02345728375316558,-0.023736785385765062,
SUSDUSDT,0.0,NaN,NaN,
SUSHIUSDT,0.0,NaN,NaN,
SXPUSDT,0.0,NaN,NaN,
TCTUSDT,-6.785714285714121E-5,-0.011613975891830775,-0.011681944882494535,
TFUELUSDT,2.0271428571428567E-4,0.1088023309308388,0.10328045166164454,
THETAUSDT,0.036895714285714296,0.3336563057127355,0.28792427240355617,
TOMOUSDT,0.018385714285714283,0.05244712498471826,0.05111804776824107,
TRBUSDT,0.0,NaN,NaN,
TROYUSDT,1.231571428571424E-4,0.05098287363391196,0.04972579645653697,
TRUUSDT,0.0,NaN,NaN,
TRXUSDC,0.0012071428571428598,0.08165040100492815,0.07848802378313198,
TRXUSDT,0.001211428571428575,0.08203540679113885,0.07884390335574543,
TUSDUSDT,2.1428571428561138E-4,2.1453089244838353E-4,2.1450788398710117E-4,
TWTUSDT,0.0,NaN,NaN,
