ativo,retornoBruto,retornoPercentual,LN
1INCHUSDT,0.0,NaN,NaN
AAVEUSDT,0.0,NaN,NaN
ADAUSDC,0.005629999999999982,0.06813533476677036,0.0659144504563765
ADAUSDT,0.005659333333333294,0.06841884681722155,0.06617984232386011
AIONUSDT,-0.0033000000000000113,-0.030435317265125494,-0.030908088902595762
AKROUSDT,0.0,NaN,NaN
ALGOUSDC,0.0,NaN,NaN
ALGOUSDT,-0.002496666666666647,-0.010820415769780767,-0.010879382215244702
ALPHAUSDT,0.0,NaN,NaN
ANKRUSDC,0.0,NaN,NaN
ANKRUSDT,2.450666666666654E-4,0.09122606742688344,0.08730189659269935
ANTUSDT,0.0,NaN,NaN
ARDRUSDT,2.4266666666667575E-4,0.004747186248810209,0.004735953894195402
ARPAUSDT,8.736666666666702E-4,0.06787166273920842,0.06566756734296998
ASRUSDT,0.0,NaN,NaN
ATMUSDT,0.0,NaN,NaN
ATOMUSDC,0.01639999999999997,0.005901261814518,0.0058839175708471966
ATOMUSDT,0.01846666666666552,0.006650181259452603,0.006628166352244771
AUDIOUSDT,0.0,NaN,NaN
AUDUSDT,0.0,NaN,NaN
AVAUSDT,0.0,NaN,NaN
AVAXUSDT,0.0,NaN,NaN
AXSUSDT,0.0,NaN,NaN
BALUSDT,0.0,NaN,NaN
BANDUSDT,-0.08620666666666721,-0.06420970569103313,-0.06636387214797473
BATUSDC,0.0028133333333333344,0.011612068846910573,0.011545166196153988
BATUSDT,0.002976666666666683,0.012287243557108862,0.012212368098053886
BCCUSDT,0.0,NaN,NaN
BCHABCUSDC,0.0,NaN,NaN
BCHABCUSDT,0.0,NaN,NaN
BCHSVUSDC,0.0,NaN,NaN
BCHSVUSDT,0.0,NaN,NaN
BCHUSDC,-5.02000000000001,-0.021086294188807808,-0.021311785575469627
BCHUSDT,-5.056999999999988,-0.021230771814334637,-0.02145938621424534
BCPTUSDC,0.0,NaN,NaN
BEAMUSDT,-0.02268666666666669,-0.0481550925107016,-0.04935316976357925
BEARUSDT,0.0,NaN,NaN
BELUSDT,0.0,NaN,NaN
BGBPUSDC,-0.0024800000000000377,-0.001984640377295066,-0.0019866123855921645
BKRWUSDT,1.1236666666666666E-4,Infinity,Infinity
BLZUSDT,0.0,NaN,NaN
BNBBEARUSDT,0.0,NaN,NaN
BNBBULLUSDT,0.0,NaN,NaN
BNBUSDC,-0.3027866666666661,-0.018446569607389995,-0.018618829261184563
BNBUSDT,-0.3006133333333345,-0.018304670548811353,-0.01847427390811048
BNTUSDT,0.19908666666666663,0.22370210008652025,0.20188077218560552
BTCSTUSDT,0.0,NaN,NaN
BTCUSDC,-116.75066666666498,-0.012379260486817034,-0.012456521819514763
BTCUSDT,-117.03266666666786,-0.01240392862319828,-0.012481499468800172
BTSUSDT,2.806666666666721E-4,0.01200627406245558,0.011934770512514032
BTTUSDC,4.38666666666669E-6,0.014264809495420305,0.014164024422932246
BTTUSDT,4.21666666666667E-6,0.013709764820635018,0.013616636210403339
BULLUSDT,0.0,NaN,NaN
BUSDUSDT,2.000000000035307E-5,1.9991004048591776E-5,1.999080423113337E-5
BZRXUSDT,0.0,NaN,NaN
CELOUSDT,0.0,NaN,NaN
CELRUSDT,2.920000000000006E-4,0.08057395143487867,0.07749233648753112
CHRUSDT,0.001923333333333329,0.06375972418670428,0.06180954228477291
CHZUSDT,-1.0490000000000152E-4,-0.008392358073944561,-0.008427772188781404
CKBUSDT,0.0,NaN,NaN
COCOSUSDT,-6.599999999999998E-6,-0.01793153414236548,-0.01809425222543374
COMPUSDT,43.36533333333333,0.7238090999120941,0.5445364352009234
COSUSDT,-1.006666666666673E-4,-0.011721327382107627,-0.011790563699393733
COTIUSDT,0.0012863333333333303,0.052254570074475204,0.05093507180425309
CRVUSDT,0.0,NaN,NaN
CTKUSDT,0.0,NaN,NaN
CTSIUSDT,0.0012326666666666597,0.03436707155004948,0.033789714587195124
CTXCUSDT,-0.0010933333333333212,-0.010119084346270069,-0.010170630307043715
CVCUSDT,-2.3633333333333145E-4,-0.008179322119932553,-0.008212956303877573
DAIUSDT,0.0,NaN,NaN
DASHUSDT,-2.000666666666646,-0.02749150337574746,-0.027876466639010528
DATAUSDT,-0.0026403333333333556,-0.04797524014875332,-0.04916423628187248
DCRUSDT,0.0,NaN,NaN
DENTUSDT,-3.599999999999979E-6,-0.017097264437689885,-0.017245110259178603
DGBUSDT,0.0,NaN,NaN
DIAUSDT,0.0,NaN,NaN
DNTUSDT,0.0,NaN,NaN
DOCKUSDT,2.3263333333333087E-4,0.03209532481627586,0.031591031801636096
DOGEUSDC,0.0,NaN,NaN
DOGEUSDT,1.2105000000000015E-4,0.04914245968058428,0.047973125418045284
DOTUSDT,0.0,NaN,NaN
DREPUSDT,-2.19166666666667E-4,-0.05865246518764333,-0.06044288259387889
DUSKUSDC,0.0,NaN,NaN
DUSKUSDT,2.699999999999994E-4,0.008613356018715379,0.00857647270915439
EGLDUSDT,0.0,NaN,NaN
ENJUSDT,-0.0051653333333333,-0.02851207660136612,-0.028926441123394868
EOSBEARUSDT,0.0,NaN,NaN
EOSBULLUSDT,0.0,NaN,NaN
EOSUSDC,-0.05360666666666747,-0.020892850415142106,-0.021114194447916547
EOSUSDT,-0.05313999999999952,-0.02070790321763538,-0.020925318560224476
ERDUSDC,0.0,NaN,NaN
ERDUSDT,0.0010572333333333335,0.25971144083063114,0.23088267952161326
ETCUSDC,0.0,NaN,NaN
ETCUSDT,-0.18261333333333418,-0.028898188008074976,-0.029323963466645384
ETHBEARUSDT,0.0,NaN,NaN
ETHBULLUSDT,0.0,NaN,NaN
ETHUSDC,-1.7569999999999766,-0.007483410424812265,-0.007511551623267719
ETHUSDT,-1.7646666666667272,-0.007512203428312159,-0.007540562142038213
EURUSDT,-4.6666666666750345E-5,-4.170750526566458E-5,-4.17083750478467E-5
FETUSDT,0.0013029999999999986,0.04585444819819817,0.044834205098208485
FILUSDT,0.0,NaN,NaN
FIOUSDT,0.0,NaN,NaN
FIROUSDT,0.0,NaN,NaN
FLMUSDT,0.0,NaN,NaN
FTMUSDC,0.0,NaN,NaN
FTMUSDT,0.001274666666666667,0.19296563556542368,0.17644233764258493
FTTUSDT,-0.008766666666666367,-0.002972826332685141,-0.002977253958105598
FUNUSDT,1.0876666666666691E-4,0.030048254015028864,0.02960564970246542
GBPUSDT,0.0,NaN,NaN
GRTUSDT,0.0,NaN,NaN
GTOUSDC,0.0,NaN,NaN
GTOUSDT,2.83333333333316E-5,0.0036549707602338,0.0036483075854751605
GXSUSDT,-0.004950000000000121,-0.009311804358050124,-0.00935543024326165
HARDUSDT,0.0,NaN,NaN
HBARUSDT,-7.753333333333293E-4,-0.018468672335897884,-0.018641347625119806
HCUSDT,-0.0343766666666665,-0.028242955692545202,-0.028649460181708292
HIVEUSDT,-0.009110000000000007,-0.03766849518978965,-0.03839628808242094
HNTUSDT,0.0,NaN,NaN
HOTUSDT,-8.83333333333335E-6,-0.015033755034889684,-0.015147907468200193
ICXUSDT,0.006746666666666734,0.021054821595756,0.02083623176236466
INJUSDT,0.0,NaN,NaN
IOSTUSDT,2.529333333333335E-4,0.0445221554637627,0.04355951333931843
IOTAUSDT,-3.700000000000092E-4,-0.0016243981677960262,-0.001625718932992622
IOTXUSDT,1.6703333333333188E-4,0.03309994055089471,0.03256393332887491
IRISUSDT,0.0,NaN,NaN
JSTUSDT,0.0,NaN,NaN
JUVUSDT,0.0,NaN,NaN
KAVAUSDT,0.05533000000000032,0.051625685014587086,0.05033723827537476
KEYUSDT,7.866666666666786E-6,0.0070847467803429875,0.0070597678719733865
KMDUSDT,0.0,NaN,NaN
KNCUSDT,0.3877333333333334,0.45635372121307216,0.3759358606628489
KSMUSDT,0.0,NaN,NaN
LENDUSDT,0.024506333333333324,0.2286877647893193,0.20594674199149487
LINKUSDC,0.23511999999999844,0.05376461289036594,0.052369097749391656
LINKUSDT,0.23615999999999993,0.05396812096513104,0.052562203898125465
LITUSDT,0.0,NaN,NaN
LRCUSDT,0.022981333333333312,0.3799697981768677,0.3220616135505436
LSKUSDT,-0.03445000000000009,-0.02819156626177388,-0.028596578576880687
LTCUSDC,-0.853666666666669,-0.019393581413664207,-0.019584104216024745
LTCUSDT,-0.8393333333333359,-0.01907185651419796,-0.01925607033013558
LTOUSDT,0.00161066666666667,0.03074749762966844,0.03028426488392246
LUNAUSDT,0.0,NaN,NaN
MANAUSDT,0.0,NaN,NaN
MATICUSDT,-1.753333333333329E-4,-0.00849085538103922,-0.008527108050233372
MBLUSDT,1.6833333333333544E-5,0.009187330580166408,0.009145383782229241
MCOUSDT,-0.2512333333333343,-0.05188913061438072,-0.05328383273661794
MDTUSDT,6.076666666666643E-4,0.07067261097111821,0.06828705936654594
MFTUSDT,1.9466666666666742E-5,0.020615645297938467,0.0204060190402701
MITHUSDT,1.509999999999975E-4,0.026370939573873153,0.026029220954589687
MKRUSDT,0.0,NaN,NaN
MTLUSDT,-0.002876666666666583,-0.008996799516278409,-0.009037515107695437
NANOUSDT,-0.004996666666666982,-0.004731034831021219,-0.004742261599792411
NBSUSDT,0.0,NaN,NaN
NEARUSDT,0.0,NaN,NaN
NEOUSDC,-0.35960000000000036,-0.03328561202576952,-0.03385218602429157
NEOUSDT,-0.36083333333333734,-0.03335942507765921,-0.03392854349960481
NKNUSDT,-5.566666666666671E-4,-0.021327680008173533,-0.021558401374119
NMRUSDT,0.0,NaN,NaN
