ativo, pos
1INCHUSDT,0
AAVEUSDT,1
ADAUSDC,2
ADAUSDT,3
AIONUSDT,4
AKROUSDT,5
ALGOUSDC,6
ALGOUSDT,7
ALPHAUSDT,8
ANKRUSDC,9
ANKRUSDT,10
ANTUSDT,11
ARDRUSDT,12
ARPAUSDT,13
ASRUSDT,14
ATMUSDT,15
ATOMUSDC,16
ATOMUSDT,17
AUDIOUSDT,18
AUDUSDT,19
AVAUSDT,20
AVAXUSDT,21
AXSUSDT,22
BALUSDT,23
BANDUSDT,24
BATUSDC,25
BATUSDT,26
BCCUSDT,27
BCHABCUSDC,28
BCHABCUSDT,29
BCHSVUSDC,30
BCHSVUSDT,31
BCHUSDC,32
BCHUSDT,33
BCPTUSDC,34
BEAMUSDT,35
BEARUSDT,36
BELUSDT,37
BGBPUSDC,38
BKRWUSDT,39
BLZUSDT,40
BNBBEARUSDT,41
BNBBULLUSDT,42
BTCSTUSDT,46
BULLUSDT,52
COCOSUSDT,60
DAIUSDT,69
DOGEUSDC,78
DREPUSDT,81
DUSKUSDC,82
EOSBEARUSDT,86
EOSBULLUSDT,87
ERDUSDC,90
ERDUSDT,91
ETCUSDC,92
ETHBEARUSDT,94
ETHBULLUSDT,95
FTMUSDC,104
GTOUSDC,110
HCUSDT,115
LENDUSDT,132
MCOUSDT,145
NPXSUSDC,158
NPXSUSDT,159
ONEUSDC,165
ONTUSDC,168
PERLUSDC,174
PHBUSDC,176
STORMUSDT,198
STRATUSDT,200
SUNUSDT,203
TFUELUSDC,208
TOMOUSDC,211
USDSBUSDT,224
USDSUSDC,225
USDSUSDT,226
VENUSDT,228
WAVESUSDC,233
XLMUSDC,242
XRPBEARUSDT,245
XRPBULLUSDT,246
XZCUSDT,251
