PopSize,MutationProbgene,MutationProbIndividual,CrossoverProb,ElitismProb,NumberOfGenerations,Pastreturn,BestFitness,RealReturn,
500,0.01,0.5,0.1,0.1,200,2.699651,0.19201559153975384,0.09504820391181378,
500,0.01,0.5,0.1,0.1,500,0.20984365,0.22403659216142982,0.12924728734397378,
500,0.01,0.5,0.1,0.1,1000,0.020551512,0.3277802862487668,0.21571616423200057,
500,0.01,0.5,0.1,0.15,200,15.170162,0.4098808212395128,0.147908528927388,
500,0.01,0.5,0.1,0.15,500,4.1167417,0.14980657027603705,0.08736687337693115,
500,0.01,0.5,0.1,0.15,1000,0.9227534,0.8416248999118238,0.4346475632062231,
500,0.01,0.5,0.1,0.2,200,28.899755,0.2917903568126236,0.0936351794583369,
500,0.01,0.5,0.1,0.2,500,11.782118,0.09512076489054774,0.08411586417286124,
500,0.01,0.5,0.1,0.2,1000,0.34121516,0.16437902533579393,0.0951810206587032,
500,0.01,0.5,0.2,0.1,200,0.11380218,0.10101336320736667,0.1360227350077852,
500,0.01,0.5,0.2,0.1,500,0.27567577,0.5386896229854348,0.1302578052143041,
500,0.01,0.5,0.2,0.1,1000,0.18215115,0.2485172148232751,0.08040785659730884,
500,0.01,0.5,0.2,0.15,200,2.3647716,0.48351802615941336,0.2681943436239022,
500,0.01,0.5,0.2,0.15,500,0.27832478,0.36973945730082003,0.24057043418494853,
500,0.01,0.5,0.2,0.15,1000,0.07901453,0.09603826270599039,0.09820008691365863,
500,0.01,0.5,0.2,0.2,200,2.8082802,0.0771632015472753,0.07188977970807271,
500,0.01,0.5,0.2,0.2,500,1.2978245,0.20156125256234828,0.14014340079517373,
500,0.01,0.5,0.2,0.2,1000,0.07021489,0.6799731919017715,0.32686646495579974,
500,0.01,0.5,0.3,0.1,200,3.3474183,0.30655278132900854,0.17856210786519858,
500,0.01,0.5,0.3,0.1,500,0.29587376,0.7235258029536117,0.17735993893680554,
500,0.01,0.5,0.3,0.1,1000,0.30684638,0.16564369637111506,0.1197973538096934,
500,0.01,0.5,0.3,0.15,200,0.77077687,0.19908228447587395,0.07766369412326117,
500,0.01,0.5,0.3,0.15,500,0.13297477,0.3218626430492354,0.15591626549733292,
500,0.01,0.5,0.3,0.15,1000,-0.19220419,0.4234686004888848,0.07224533369306305,
500,0.01,0.5,0.3,0.2,200,1.9585986,0.16712240230599174,0.08625671341168535,
500,0.01,0.5,0.3,0.2,500,0.037130103,0.04214254383326524,0.15770719669706545,
500,0.01,0.5,0.3,0.2,1000,-0.059977215,0.3747274090838415,0.10911907891159443,
500,0.01,0.5,0.4,0.1,200,6.8666706,0.14229436693321934,0.059764395844175595,
500,0.01,0.5,0.4,0.1,500,0.28202364,0.19049260672752233,0.22532941271977364,
500,0.01,0.5,0.4,0.1,1000,-0.14388333,0.20872003054520835,0.09890524516863625,
