PopSize,MutationProbgene,MutationProbIndividual,CrossoverProb,ElitismProb,NumberOfGenerations,Pastreturn,BestFitness,RealReturn,
500,0.01,0.5,0.1,0.1,200,3107710.5,0.10276694134293035,0.06312218419020878,
500,0.01,0.5,0.1,0.1,500,4466392.5,0.10692569491380134,0.0675853060478926,
500,0.01,0.5,0.1,0.1,1000,5779580.5,0.1015113952863013,0.061720550656593216,
500,0.01,0.5,0.1,0.1,5000,6800802.5,0.09438467614852139,0.05890682123231554,
500,0.01,0.5,0.1,0.15,200,2720371.2,0.14721384797270737,0.08193852239444167,
500,0.01,0.5,0.1,0.15,500,4840690.0,0.11052600667884813,0.06680548252054419,
500,0.01,0.5,0.1,0.15,1000,6005614.5,0.10071365082024418,0.06182351035148955,
500,0.01,0.5,0.1,0.15,5000,6802306.5,0.09396490764473306,0.05880608566129064,
500,0.01,0.5,0.1,0.2,200,1755701.5,0.10635126257449189,0.07561324241203475,
500,0.01,0.5,0.1,0.2,500,4223187.5,0.1201356819905313,0.068566463404967,
500,0.01,0.5,0.1,0.2,1000,6151246.5,0.1000473351849931,0.060686409280336306,
500,0.01,0.5,0.1,0.2,5000,6802536.5,0.09413774187332159,0.05884692292843288,
500,0.01,0.5,0.2,0.1,200,3690306.0,0.13054576213607683,0.07272185594691336,
500,0.01,0.5,0.2,0.1,500,5183819.0,0.10411490533332793,0.06625939090039835,
500,0.01,0.5,0.2,0.1,1000,6467422.5,0.09543080460917967,0.06021017778839854,
500,0.01,0.5,0.2,0.1,5000,6803213.5,0.0939951774611946,0.058812653144925155,
500,0.01,0.5,0.2,0.15,200,3325810.5,0.09967426770367152,0.06866276971226691,
500,0.01,0.5,0.2,0.15,500,5573014.5,0.09147486878636898,0.06085367515457883,
500,0.01,0.5,0.2,0.15,1000,6548201.0,0.09069732128013022,0.05867319756717512,
500,0.01,0.5,0.2,0.15,5000,6803301.5,0.09392486149184753,0.0587960925081333,
500,0.01,0.5,0.2,0.2,200,3380630.0,0.11362844738622284,0.06839925878325932,
500,0.01,0.5,0.2,0.2,500,5451579.5,0.10107945990288046,0.06168186499927738,
500,0.01,0.5,0.2,0.2,1000,6564914.0,0.09429334832918611,0.059465051085437814,
500,0.01,0.5,0.2,0.2,5000,6803318.0,0.09394961973830562,0.05880193209416745,
500,0.01,0.5,0.3,0.1,200,3360378.2,0.11919432309174187,0.07048164470238524,
500,0.01,0.5,0.3,0.1,500,5905022.0,0.1034748071156218,0.06168485880582453,
500,0.01,0.5,0.3,0.1,1000,6631285.5,0.09557511796436367,0.05949411819970966,
500,0.01,0.5,0.3,0.1,5000,6803321.0,0.09389855223091076,0.058790052885098525,
500,0.01,0.5,0.3,0.15,200,3493490.0,0.11970003246013215,0.0689111049218051,
500,0.01,0.5,0.3,0.15,500,6192234.5,0.09883916449449055,0.06083096972564508,
500,0.01,0.5,0.3,0.15,1000,6693111.5,0.09818584380734718,0.05996882441692915,
500,0.01,0.5,0.3,0.15,5000,6803329.5,0.0939233253843612,0.05879576908749772,
500,0.01,0.5,0.3,0.2,200,3448760.2,0.1101261383457045,0.07118990356612222,
500,0.01,0.5,0.3,0.2,500,5829643.5,0.09801794090856454,0.06130201979467427,
500,0.01,0.5,0.3,0.2,1000,6717579.5,0.09559824023553808,0.059259207010905646,
500,0.01,0.5,0.3,0.2,5000,6803329.0,0.09392409855070873,0.05879599955069114,
500,0.01,0.5,0.4,0.1,200,4088275.0,0.12213632455823065,0.07304409054641314,
500,0.01,0.5,0.4,0.1,500,6142681.0,0.09341477755292911,0.05977117896647449,
