PopSize,MutationProbgene,MutationProbIndividual,CrossoverProb,ElitismProb,NumberOfGenerations,BestFitness,RealReturn,
500,0.01,0.05,0.1,0.1,200,2.188099,0.14211700467615862,
500,0.01,0.05,0.1,0.1,500,0.51702625,0.038433771164380154,
500,0.01,0.05,0.1,0.1,1000,-5701.979,0.12089669003935213,
500,0.01,0.05,0.1,0.15,200,32.718136,0.14802844409974905,
500,0.01,0.05,0.1,0.15,500,-54.953278,0.18643859057677448,
500,0.01,0.05,0.1,0.15,1000,-273.78098,0.4128511403423073,
500,0.01,0.05,0.1,0.2,200,38.58172,0.09518876602703344,
500,0.01,0.05,0.1,0.2,500,6.979402,0.14516208086721955,
500,0.01,0.05,0.1,0.2,1000,-360.80475,0.07638187798926072,
500,0.01,0.05,0.1,0.5,200,68.019775,0.17572060767196823,
500,0.01,0.05,0.1,0.5,500,68.602806,0.015056854428200397,
500,0.01,0.05,0.1,0.5,1000,27.974861,0.35991977292730776,
500,0.01,0.05,0.1,0.8,200,113.53073,0.221526177427598,
500,0.01,0.05,0.1,0.8,500,23.813389,0.20605867578695003,
500,0.01,0.05,0.1,0.8,1000,48.160194,0.2718195558195697,
500,0.01,0.05,0.2,0.1,200,0.68341863,0.29326830100020246,
500,0.01,0.05,0.2,0.1,500,-2.7258387,0.5701969117341694,
500,0.01,0.05,0.2,0.1,1000,-456.90115,0.0625097833031882,
500,0.01,0.05,0.2,0.15,200,1.5011202,0.14865963646237648,
500,0.01,0.05,0.2,0.15,500,-7.007231,0.6027818884707725,
500,0.01,0.05,0.2,0.15,1000,-443.38095,0.14381783744794027,
500,0.01,0.05,0.2,0.2,200,9.928724,0.41176139339828305,
500,0.01,0.05,0.2,0.2,500,-105.77344,0.1351255926708378,
500,0.01,0.05,0.2,0.2,1000,-579.9662,0.17530114020559126,
500,0.01,0.05,0.2,0.5,200,83.198326,0.1549820380227633,
500,0.01,0.05,0.2,0.5,500,60.007904,0.232953182768943,
500,0.01,0.05,0.2,0.5,1000,13.387316,0.18642478478632568,
500,0.01,0.05,0.2,0.8,200,67.52275,0.14406180874559338,
500,0.01,0.05,0.2,0.8,500,42.307858,0.3885997847992676,
500,0.01,0.05,0.2,0.8,1000,77.58127,0.32900486689942343,
500,0.01,0.05,0.3,0.1,200,1.6541972,0.29268112759351733,
500,0.01,0.05,0.3,0.1,500,0.030167287,0.16742048213265265,
500,0.01,0.05,0.3,0.1,1000,-349.34412,0.1249590556152692,
500,0.01,0.05,0.3,0.15,200,3.7189095,0.36322120385948503,
500,0.01,0.05,0.3,0.15,500,-16.30121,0.2767232318848029,
500,0.01,0.05,0.3,0.15,1000,-1.4411229,0.14062967139755606,
500,0.01,0.05,0.3,0.2,200,0.7105587,0.9037365936418367,
500,0.01,0.05,0.3,0.2,500,-117.962845,0.18689429739551122,
500,0.01,0.05,0.3,0.2,1000,-4940.833,0.042442431106917096,
500,0.01,0.05,0.3,0.5,200,80.62797,0.2053711864166115,
500,0.01,0.05,0.3,0.5,500,41.72956,-0.06256143344641296,
500,0.01,0.05,0.3,0.5,1000,-23.77694,0.19617206431569886,
500,0.01,0.05,0.3,0.8,200,146.98418,0.16657533029018853,
500,0.01,0.05,0.3,0.8,500,125.91312,0.10484929970991873,
500,0.01,0.05,0.3,0.8,1000,34.756706,0.2521941954583929,
500,0.01,0.05,0.6,0.1,200,4.1264124,0.29879028553459086,
500,0.01,0.05,0.6,0.1,500,-0.5229168,0.25917019548813897,
500,0.01,0.05,0.6,0.1,1000,-102.87371,0.19921444499491106,
500,0.01,0.05,0.6,0.15,200,-51.30289,0.1540454128614657,
500,0.01,0.05,0.6,0.15,500,-140.28404,0.2186222760525648,
500,0.01,0.05,0.6,0.15,1000,-98.13554,0.12498190873177346,
500,0.01,0.05,0.6,0.2,200,0.6741792,0.09370762665188358,
500,0.01,0.05,0.6,0.2,500,-112.523254,0.16902281168479924,
500,0.01,0.05,0.6,0.2,1000,-1415.1519,0.11123016227820047,
500,0.01,0.05,0.6,0.5,200,19.650461,0.1853137499296999,
500,0.01,0.05,0.6,0.5,500,-285.93237,0.1928377645979667,
500,0.01,0.05,0.6,0.5,1000,-23.270962,0.12866859700768968,
500,0.01,0.05,0.6,0.8,200,38.943443,0.31212561204494105,
500,0.01,0.05,0.6,0.8,500,78.49222,0.255112060823607,
500,0.01,0.05,0.6,0.8,1000,-180.05849,0.1383774868929944,
500,0.01,0.05,0.8,0.1,200,3.704115,0.052746206985820776,
500,0.01,0.05,0.8,0.1,500,-3.8183787,0.4479300064192334,
500,0.01,0.05,0.8,0.1,1000,-629.919,0.09206375663308405,
500,0.01,0.05,0.8,0.15,200,3.633464,0.08165979831769618,
500,0.01,0.05,0.8,0.15,500,-2672.7014,0.2086544789208935,
500,0.01,0.05,0.8,0.15,1000,-162.94037,0.13084343425965536,
500,0.01,0.05,0.8,0.2,200,4.12754,0.748989101075502,
500,0.01,0.05,0.8,0.2,500,0.040684886,0.47999182688680625,
500,0.01,0.05,0.8,0.2,1000,-5207.7666,0.09653859692099998,
500,0.01,0.05,0.8,0.5,200,6.7277565,0.37066632010141776,
500,0.01,0.05,0.8,0.5,500,-87.56493,0.20945054758758147,
500,0.01,0.05,0.8,0.5,1000,-665.1034,0.35130442397267114,
500,0.01,0.05,0.8,0.8,200,35.377316,0.2133119486750531,
500,0.01,0.05,0.8,0.8,500,69.620926,0.11542441378169242,
500,0.01,0.05,0.8,0.8,1000,-18.736294,0.19017091105073322,
500,0.01,0.05,0.9,0.1,200,0.6471731,0.11691249958097398,
500,0.01,0.05,0.9,0.1,500,-69.048485,0.09397864125467847,
500,0.01,0.05,0.9,0.1,1000,-1092.581,0.15943535034982018,
500,0.01,0.05,0.9,0.15,200,1.3745035,0.34411333560175505,
500,0.01,0.05,0.9,0.15,500,-588.3424,0.0811219767529292,
500,0.01,0.05,0.9,0.15,1000,-372.55804,0.21648320635971127,
500,0.01,0.05,0.9,0.2,200,0.4906579,0.22820505626075274,
500,0.01,0.05,0.9,0.2,500,-69.646614,0.09777234399814747,
500,0.01,0.05,0.9,0.2,1000,-2054.9844,0.3228539421087482,
500,0.01,0.05,0.9,0.5,200,2.575773,0.349302421308116,
500,0.01,0.05,0.9,0.5,500,-51.808846,0.05896976629426788,
500,0.01,0.05,0.9,0.5,1000,-9573.885,0.3259838387792765,
500,0.01,0.05,0.9,0.8,200,17.072355,0.1063535980421326,
500,0.01,0.05,0.9,0.8,500,50.38154,0.37041354056679515,
500,0.01,0.05,0.9,0.8,1000,35.530365,0.41864610979709205,
500,0.01,0.1,0.1,0.1,200,-0.38033977,0.003367069644085726,
500,0.01,0.1,0.1,0.1,500,0.58495176,0.3838904867043933,
500,0.01,0.1,0.1,0.1,1000,-467.3354,0.18145250252698533,
500,0.01,0.1,0.1,0.15,200,27.4977,0.17695130672727474,
500,0.01,0.1,0.1,0.15,500,4.0329313,0.29812680495107174,
500,0.01,0.1,0.1,0.15,1000,-162.20996,0.15105442363081964,
500,0.01,0.1,0.1,0.2,200,39.60496,0.4785530407230494,
500,0.01,0.1,0.1,0.2,500,9.488942,0.34662193538923763,
500,0.01,0.1,0.1,0.2,1000,3.9335356,0.2922705648004716,
500,0.01,0.1,0.1,0.5,200,82.767975,0.07902440307587406,
500,0.01,0.1,0.1,0.5,500,76.18778,0.1431229454326537,
500,0.01,0.1,0.1,0.5,1000,21.7421,0.23754225041050908,
500,0.01,0.1,0.1,0.8,200,164.87263,0.181354442755295,
500,0.01,0.1,0.1,0.8,500,110.23653,0.30068589788152955,
500,0.01,0.1,0.1,0.8,1000,160.99608,0.18212760113512497,
500,0.01,0.1,0.2,0.1,200,3.9167004,0.10567844026682567,
500,0.01,0.1,0.2,0.1,500,-1607.5093,0.11270070364173047,
500,0.01,0.1,0.2,0.1,1000,-128.01291,0.07770846205936387,
500,0.01,0.1,0.2,0.15,200,0.14397368,0.2667998111613035,
500,0.01,0.1,0.2,0.15,500,-138.5423,0.11606129845282397,
500,0.01,0.1,0.2,0.15,1000,-87.02199,0.15391142902621813,
500,0.01,0.1,0.2,0.2,200,7.91419,0.5075415958716321,
500,0.01,0.1,0.2,0.2,500,-0.00556418,0.22229428208585184,
500,0.01,0.1,0.2,0.2,1000,-48.052193,0.18850026504638207,
500,0.01,0.1,0.2,0.5,200,57.818604,0.2796890800634708,
500,0.01,0.1,0.2,0.5,500,58.191624,0.14729421890118288,
500,0.01,0.1,0.2,0.5,1000,-294.72586,0.3999763924565392,
500,0.01,0.1,0.2,0.8,200,133.13988,0.25012959738239254,
500,0.01,0.1,0.2,0.8,500,53.578712,0.19357795446807058,
500,0.01,0.1,0.2,0.8,1000,-243.79053,0.08529831879610482,
500,0.01,0.1,0.3,0.1,200,2.1311758,0.8580155643146926,
500,0.01,0.1,0.3,0.1,500,-8797.32,0.15141448482520395,
500,0.01,0.1,0.3,0.1,1000,-63.423264,0.11238919288317276,
500,0.01,0.1,0.3,0.15,200,2.8224397,0.09928368891285819,
500,0.01,0.1,0.3,0.15,500,-30.596342,0.08890427741776118,
500,0.01,0.1,0.3,0.15,1000,-804.2208,0.1314879028570348,
500,0.01,0.1,0.3,0.2,200,0.8523024,0.8862771057698572,
500,0.01,0.1,0.3,0.2,500,-3447.1665,0.11683194677734651,
500,0.01,0.1,0.3,0.2,1000,-717.9047,0.28689762502428,
500,0.01,0.1,0.3,0.5,200,23.135527,0.4105455546423604,
500,0.01,0.1,0.3,0.5,500,21.674662,0.11131156817343896,
500,0.01,0.1,0.3,0.5,1000,-452.30176,0.20125909963018032,
500,0.01,0.1,0.3,0.8,200,53.829037,0.3382348142285894,
500,0.01,0.1,0.3,0.8,500,54.06435,0.5951265418374353,
500,0.01,0.1,0.3,0.8,1000,41.94616,0.26479880810508905,
500,0.01,0.1,0.6,0.1,200,1.1006371,0.4087598015439996,
500,0.01,0.1,0.6,0.1,500,-1241.1534,0.03296782681571879,
500,0.01,0.1,0.6,0.1,1000,-312.15643,0.25323865084457875,
500,0.01,0.1,0.6,0.15,200,0.9695884,0.16832266149605135,
500,0.01,0.1,0.6,0.15,500,-330.2836,0.07941745979111892,
500,0.01,0.1,0.6,0.15,1000,-583.90784,0.23190736491430514,
500,0.01,0.1,0.6,0.2,200,1.3306289,0.5016612385918797,
500,0.01,0.1,0.6,0.2,500,-80.33713,0.27337478557060585,
500,0.01,0.1,0.6,0.2,1000,-308.92752,0.13973461083520736,
500,0.01,0.1,0.6,0.5,200,30.146486,0.36472897072100513,
500,0.01,0.1,0.6,0.5,500,5.6376085,0.1988320451595505,
500,0.01,0.1,0.6,0.5,1000,-2863.664,0.05735175431472805,
500,0.01,0.1,0.6,0.8,200,-714.2252,0.18500446789025962,
500,0.01,0.1,0.6,0.8,500,-255.58926,0.3078444692211702,
500,0.01,0.1,0.6,0.8,1000,-1594.8112,0.2721883559785365,
500,0.01,0.1,0.8,0.1,200,2.1684282,0.11425662893744253,
500,0.01,0.1,0.8,0.1,500,-371.77197,0.15032103241811487,
500,0.01,0.1,0.8,0.1,1000,-3262.3643,0.35140185567206644,
500,0.01,0.1,0.8,0.15,200,1.1470813,0.1091463959688287,
500,0.01,0.1,0.8,0.15,500,-0.089170456,0.1130854989459175,
500,0.01,0.1,0.8,0.15,1000,-610.34344,0.09936333814994545,
500,0.01,0.1,0.8,0.2,200,2.6182315,0.24711359438382763,
500,0.01,0.1,0.8,0.2,500,-4.2674,0.09041349923631178,
500,0.01,0.1,0.8,0.2,1000,-1051.5828,0.20572643598720988,
500,0.01,0.1,0.8,0.5,200,-21.606356,0.14438638752061858,
500,0.01,0.1,0.8,0.5,500,-8307.281,0.14977358462854798,
500,0.01,0.1,0.8,0.5,1000,-1028.3586,0.4841633098124816,
500,0.01,0.1,0.8,0.8,200,24.130278,0.2981002765472325,
500,0.01,0.1,0.8,0.8,500,16.532858,0.22717908200134004,
500,0.01,0.1,0.8,0.8,1000,9.409402,0.21404103008998496,
500,0.01,0.1,0.9,0.1,200,-672.17206,0.09328912305287558,
500,0.01,0.1,0.9,0.1,500,-19.539639,0.08717469403979736,
500,0.01,0.1,0.9,0.1,1000,-754.4571,0.11908509763433898,
500,0.01,0.1,0.9,0.15,200,-19.848867,0.2705539994716454,
500,0.01,0.1,0.9,0.15,500,-113.380516,0.10471921621926672,
500,0.01,0.1,0.9,0.15,1000,-2746.439,0.1670042123546398,
500,0.01,0.1,0.9,0.2,200,1.2240124,0.3716259968493154,
500,0.01,0.1,0.9,0.2,500,-13.491729,0.3900151912321486,
500,0.01,0.1,0.9,0.2,1000,-598.8772,0.12140595276632493,
500,0.01,0.1,0.9,0.5,200,2.343381,0.16925691400854806,
500,0.01,0.1,0.9,0.5,500,-510.33533,0.11984431169852726,
500,0.01,0.1,0.9,0.5,1000,-5599.6914,0.15343124459749147,
500,0.01,0.1,0.9,0.8,200,22.277729,0.28305387847060154,
500,0.01,0.1,0.9,0.8,500,20.953161,0.5507803953577465,
500,0.01,0.1,0.9,0.8,1000,-72.88585,0.13617569286608924,
500,0.01,0.15,0.1,0.1,200,6.985658,0.09437530234833516,
500,0.01,0.15,0.1,0.1,500,-462.46225,0.08982744506676202,
500,0.01,0.15,0.1,0.1,1000,-3.6464963,0.2098874101097701,
500,0.01,0.15,0.1,0.15,200,19.478745,0.47476964655369686,
500,0.01,0.15,0.1,0.15,500,2.090619,0.06107021082410973,
500,0.01,0.15,0.1,0.15,1000,-323.8958,0.17117513412882068,
500,0.01,0.15,0.1,0.2,200,41.868885,0.18615548415732489,
500,0.01,0.15,0.1,0.2,500,20.622547,0.25678528472866397,
500,0.01,0.15,0.1,0.2,1000,-3683.9517,0.048790566514794485,
500,0.01,0.15,0.1,0.5,200,152.24536,0.20930425400896865,
500,0.01,0.15,0.1,0.5,500,104.11532,0.1293255372912548,
500,0.01,0.15,0.1,0.5,1000,41.851894,0.18515827438155283,
500,0.01,0.15,0.1,0.8,200,69.929146,0.4011757665918534,
500,0.01,0.15,0.1,0.8,500,123.17072,0.1917246518244111,
500,0.01,0.15,0.1,0.8,1000,114.58458,0.5210512367607939,
500,0.01,0.15,0.2,0.1,200,-24.132187,0.10621200136254542,
500,0.01,0.15,0.2,0.1,500,-1979.783,0.17229184523968336,
500,0.01,0.15,0.2,0.1,1000,-49.975353,0.32366798772041555,
500,0.01,0.15,0.2,0.15,200,-9.30805,0.11590713759842837,
500,0.01,0.15,0.2,0.15,500,-0.84014344,0.17450729546775426,
500,0.01,0.15,0.2,0.15,1000,-1068.8392,0.16178791944669585,
500,0.01,0.15,0.2,0.2,200,7.304397,0.30999560060434644,
